"CODE";"NAME";"SECTOR";"LANGUAGE";"CURRENCY";"NPWP";"ACCOUNT_CODE";"NOTE";"ACC_VENDOR_CODE";"SHORT_NAME"
"878";OPTIMA MEDIA DINAMIKA, PT;BRTL;ID;IDR;"02.036.811.4-062.000";O00017-AG/I ;Ganti No. NPWP Per April 2008 [BANNED] ;O00017-AG/I ;OPTIMA MEDIA DINAMIKA, PT
"892";BERIAL SUMBER MEDICA;BRTL;ID;IDR;;;;;BERIAL SUMBER MEDICA
"896";PERFETTI VAN MELLE;BRTL;ID;IDR;;;;;PERFETTI VAN 
"901";USAID - SERASI PROJECT;BRTL;ID;IDR;;;;;USAID - SERASI PROJECT
"902";MEDAN BISNIS;BRTL;ID;IDR;;;;M00048-AG/I ;MEDAN BISNIS
"903";SOHO INDUSTRI PHARMASI.PT;BRTL;ID;IDR;"01.002.713.4-007.000";S000134-AD/I;;S000134-AD/I;SOHO INDUSTRI PHARMASI.PT
"859";xxxxxxxxxxxPERTAMINA PT.;BADV;ID;IDR;"01.001.664.0.051.000";P00114-AD/I;;P00114-AD/I;xxxxxxxxxxxPERTAMINA PT.
"727";SARI ENESIS INDAH.PT;BRTL;ID;IDR;;;;;SARI ENESIS 
"904";MISAYA PROPERINDO;BRTL;ID;IDR;;;;;MISAYA PROPERINDO
"0";LATIVI MEDIAKARYA, PT;BENT;ID;IDR;"000";;;;LATIVI MEDIAKARYA, PT
"905";ROCHE INDONESIA, PT;BRTL;ID;IDR;;;;;ROCHE INDONESIA, 
"908";PANCA TALENTA MAS.PT;BRTL;ID;IDR;;;;;PANCA TALENTA 
"909";SANJAYA SAKTI.PT;BRTL;ID;IDR;;;;;SANJAYA SAKTI.PT
"911";PMA;BRTL;ID;IDR;;;;;PMA
"913";TIM KAMPANYE SBY - JK;BRTL;ID;IDR;;;;;TIM KAMPANYE 
"915";SUPRA SUMBER CIPTA,PT;BRTL;ID;IDR;;;;;SUPRA SUMBER 
"916";KIMBERLY LEVER INDONESIA, PT;BRTL;ID;IDR;;;;;KIMBERLY LEVER 
"918";PROMOTION;BRTL;ID;IDR;XXXX;XXXX;;XXXX;PROMOTION
"921";BINTANG PRATAMA;BRTL;ID;IDR;;;;;BINTANG PRATAMA
"923";MULTI DUTA UTARI, PT;BRTL;ID;IDR;;;;;MULTI DUTA 
"925";BIRO HUKUM DKI;BRTL;ID;IDR;;;;;BIRO HUKUM DKI
"927";MAKTOUR;BRTL;ID;IDR;"01.125.504.9-002.001";M00074-AG/I ;;M00074-AG/I ;MAKTOUR
"928";INMARINDOTAMA PT.;BRTL;ID;IDR;;;;;INMARINDOTAMA PT.
"929";TIRTA HALA EKAMARTA, PT;BRTL;ID;IDR;"02.025.903.2-062.000";;;;TIRTA HALA EKAMARTA, PT
"930";MUDA MULIA MANDIRI, PT;BADV;ID;IDR;"01.724.640.6-015.000";M00072-AG/I ;;M00072-AG/I ;MUDA MULIA MANDIRI, PT
"932";FORISA NUSA PESADA.PT;BRTL;ID;IDR;;;;;FORISA NUSA 
"933";BADAN NARKOTIKA NASIONAL (BNN);BRTL;ID;IDR;"00.439.395.5.005.000";;;;BADAN NARKOTIKA NASIONAL (BNN)
"935";INDOBETONLINE;BRTL;ID;IDR;XXX;XXX;;;INDOBETONLINE
"936";RADIO GERONIMO ;BRTL;ID;IDR;XX;XX;XX;;RADIO GERONIMO 
"938";OCTA UTAMA, PD;BRTL;ID;IDR;XX;XX;XX;;OCTA UTAMA, 
"939";BRYSTOL MYERS SQUIBB, PT;BRTL;ID;IDR;XX;;;;BRYSTOL MYERS SQUIBB, PT
"941";DANKOS LABORATORIES, PT;BRTL;ID;IDR;XXX;XXX;;;DANKOS LABORATORIES, 
"943";CASTROL INDONESIA, PT;BRTL;ID;IDR;;;;;CASTROL INDONESIA, PT
"944";KIDS FANTASI;BRTL;ID;IDR;;;;K00038-AG/I ;KIDS FANTASI
"946";PRIMAGAMA;BRTL;ID;IDR;XX;XX;;;PRIMAGAMA
"949";OXONE;BRTL;ID;IDR;XX;XX;XX;;OXONE
"950";ELKI PRODUCTION,PT;BRTL;ID;IDR;;;;;ELKI PRODUCTION,PT
"952";RESSA HERLAMBANG MANAGEMENT ;BRTL;ID;IDR;BARTER;XX;VV;R00061-AG/I ;RESSA HERLAMBANG 
"953";SEGAR WARAS, PT ;BRTL;ID;IDR;XX;XX;XX;;SEGAR WARAS, 
"955";NANDA ;BRTL;ID;IDR;XX;XX;XX;;NANDA 
"956";EMWAY MULIA,PT (MATEL);BRTL;ID;IDR;;;;;EMWAY MULIA,PT 
"957";X BMG INDONESIA, PT;BADV;ID;IDR;"01.641.215.7-059.000";;;;X BMG 
"958";TEST;BRTL;ID;IDR;;;;;TEST
"961";ORANGTUA FARMA;BRTL;ID;IDR;XXX;;;;ORANGTUA FARMA
"963";MEGAVISION UTAMA. PT;BADV;ID;IDR;"02.361.294.8-027.000";M00073-AG/I;;M00073-AG/I;MEGAVISION UTAMA. PT
"966";X ADVENTURA MEDIA NUSANTARA;BRTL;ID;IDR;;;;;X ADVENTURA 
"967";MT SALON & DAY SPA;BRTL;ID;IDR;;;;;MT SALON 
"969";X ADVENTURA PROKREASI, PT;BRTL;ID;IDR;XXX;XXX;XXX;;X ADVENTURA 
"970";GEUBRINA RIZKI, CV;BRTL;ID;IDR;;;;;CV.GEUBRINA RIZKI
"972";SURABAYA NEWS;BRTL;ID;IDR;BARTER;;;S00119-AG/I ;SURABAYA NEWS
"973";SURABAYA NEWS;BRTL;ID;IDR;xxx;xxx;MEDIA;;SURABAYA NEWS
"974";GARUDA INDONESIA (Persero) Tbk, PT;BRTL;ID;IDR;"01.001.634.3-093.000";;;;GARUDA INDONESIA (Persero) Tbk, PT
"976";PETRONAS NIAGA INDONESIA;BRTL;ID;IDR;XXX;XXX;XXX;;PETRONAS NIAGA 
"977";X BINA KARYA PRIMA, PT;BRTL;ID;IDR;XXX;XXX;XXX;XXX;X BINA KARYA PRIMA, PT
"978";X DJARUM PT;BRTL;ID;IDR;XXX;XXX;XXX;;X DJARUM 
"979";X BENTOEL PRIMA PT;BRTL;ID;IDR;XX;XX;;;X BENTOEL 
"982";DKT INDONESIA, PT;BRTL;ID;IDR;;;;;DKT INDONESIA, PT
"983";HARIAN RADAR BOGOR;BRTL;ID;IDR;;xxx;;;HARIAN RADAR 
"984";PRUDENTIAL LIFE ASSURANCE;BRTL;ID;IDR;;;;;PRUDENTIAL LIFE 
"986";X CV.GEUBRINA RIZKI;BRTL;ID;IDR;;;;;X CV.GEUBRINA 
"989";KALBE FARMA Tbk, PT;BADV;ID;IDR;"01.001.836.4-092.000";;;;KALBE FARMA Tbk, PT
"990";LOACKER CHOCOLATE;BRTL;ID;IDR;;;;;LOACKER CHOCOLATE
"992";X LEO BURNETT KREASINDO INDONESIA, PT;BADV;ID;IDR;"01.877.056.0.026.000";;;;X LEO 
"993";MAJALAH TRUST;BRTL;ID;IDR;;;;M00075-AG/I ;MAJALAH TRUST
"995";UNICHARM INDONESIA,PT;BRTL;ID;IDR;;;;;UNICHARM INDONESIA,PT
"997";DHARMAPENA CITRA MEDIA, PT;BADV;ID;IDR;"02.145.963.1-017.000";D00053-AG/I ;banned dibuka 21/08/18 banned 25/09/18 [BANNED] ;D00053-AG/I ;DHARMAPENA CITRA MEDIA, PT
"1032";SURABAYA POST;BRTL;ID;IDR;BARTER;X;;S00121-AG/I ;SURABAYA POST
"1033";SATELIT NEWS;BRTL;ID;IDR;BARTER;X;;S00120-AG/I ;SATELIT NEWS
"1034";NOVA;BRTL;ID;IDR;X;X;;;NOVA
"1036";KEDAULATAN RAKYAT;BRTL;ID;IDR;X;X;;;KEDAULATAN RAKYAT
"1037";SATELIT NEWS;BRTL;ID;IDR;xxx;xxx;xxx;;SATELIT NEWS
"1039";DSG SURYAMAS INDONESIA, PT;BRTL;ID;IDR;X;X;;;DSG SURYAMAS 
"1040";GALAMEDIA;BRTL;ID;IDR;;xxx;xxx;G00039-AG/I ;GALAMEDIA
"1042";KISS MEDAN;BRTL;ID;IDR;;xxx;xxx;K00036-AG/I ;KISS MEDAN
"1043";MUSTANG RADIO;BRTL;ID;IDR;xxx;xxx;xxx;;MUSTANG RADIO
"1044";KOSMONITA;BRTL;ID;IDR;;;;;KOSMONITA
"1045";PESONA FM RADIO;BRTL;ID;IDR;BARTER;xxx;xxx;P00089-AG/I ;PESONA FM 
"1046";KIDS RADIO;BRTL;ID;IDR;;xxx;xxx;K00037-AB/I;KIDS RADIO
"1048";NINETYNINERS;BRTL;ID;IDR;;xxx;xxx;N00025-AG/I ;NINETYNINERS
"1049";SURABAYA POST;BRTL;ID;IDR;xxx;xxx;xxx;;SURABAYA POST
"1051";PAPANDAYAN HOTEL;BRTL;ID;IDR;;xxx;xxx;P00091-AG/I ;PAPANDAYAN HOTEL
"1052";BMG INDONESIA;BRTL;ID;IDR;"01.641.215.7-059.000";;xxx;;BMG INDONESIA
"1053";SELECTA RECORD;BRTL;ID;IDR;;S00107-AG/I ;BANK ARTHA GRAHA;S00107-AG/I ;SELECTA RECORD
"1054";GIANT HYPER MARKET;BRTL;ID;IDR;;;;G00041-AG/I ;GIANT HYPER 
"1056";PDIP;BRTL;ID;IDR;"00.000.000.0-000.000";;;;PDIP
"1057";ULTRA PRIMA ABADI, PT;BRTL;ID;IDR;;;;;ULTRA PRIMA 
"1060";SARI HUSADA,PT;BRTL;ID;IDR;;;;;SARI HUSADA,PT
"1061";UNIVERSITAS ISLAM INDONESIA YOGYAKARTA;BRTL;ID;IDR;;U00011      ;;U00011      ;UNIVERSITAS ISLAM 
"1063";NABISCO FOOD,PT;BRTL;ID;IDR;XX;XX;;;NABISCO FOOD,PT
"1064";[BANNED] SATU VISI KOMUNIKATAMA, PT;BRTL;ID;IDR;"02.003.190.2-005.000";;;;[BANNED] SATU VISI KOMUNIKATAMA, PT
"1065";LION WINGS, PT;BRTL;ID;IDR;;;;;LION WINGS, 
"1068";QUALITY HOTEL YOGYAKARTA;BRTL;ID;IDR;BARTER;Q00001-AB/I ;;;QUALITY HOTEL 
"1069";CANDRABUANA SURYASEMESTA, PT;BRTL;ID;IDR;;;;;CANDRABUANA SURYASEMESTA, PT
"1071";BOLA DUNIA, PT;BRTL;ID;IDR;;;;;BOLA DUNIA, PT
