"CODE";"NAME";"SECTOR";"LANGUAGE";"CURRENCY";"NPWP";"ACCOUNT_CODE";"NOTE";"ACC_VENDOR_CODE";"SHORT_NAME"
"878";OPTIMA MEDIA DINAMIKA, PT;BRTL;ID;IDR;"02.036.811.4-062.000";O00017-AG/I ;Ganti No. NPWP Per April 2008 [BANNED] ;O00017-AG/I ;OPTIMA MEDIA DINAMIKA, PT
"893";xxxxxxxxxxxxxxxxxxxxxxxxxxxOPTIMA MEDIA , PT;BRTL;ID;IDR;"02.036.811.4-015.000";O00017-AG/I;;O00017-AG/I;xxxxxxxxxxxxxxxxxxxxxxxxxxxOPTIMA MEDIA , PT
"895";CURSOR MEDIA, PT;BADV;ID;IDR;"02.107.565.0-073.000";C00070-AG/I;BANK RESONA PERDANIA A/C 3.3430.007;C00070-AG/I;CURSOR MEDIA, PT
"899";X test partner 1234;BRTL;ID;IDR;;;;;X test 
"902";MEDAN BISNIS;BRTL;ID;IDR;;;;M00048-AG/I ;MEDAN BISNIS
"859";xxxxxxxxxxxPERTAMINA PT.;BADV;ID;IDR;"01.001.664.0.051.000";P00114-AD/I;;P00114-AD/I;xxxxxxxxxxxPERTAMINA PT.
"0";LATIVI MEDIAKARYA, PT;BENT;ID;IDR;"000";;;;LATIVI MEDIAKARYA, PT
"906";BINTANG RAJAWALI  VISUALINDO, PT;BRTL;ID;IDR;"1.993.363.9.024";B00113-AG/I;;B00113-AG/I;BINTANG RAJAWALI  VISUALINDO, PT
"918";PROMOTION;BRTL;ID;IDR;XXXX;XXXX;;XXXX;PROMOTION
"919";PROMO;BRTL;ID;IDR;BARTER;XXXX;XXXXX;;PROMO
"924";[BANNED] PLANET COMM;BRTL;ID;IDR;"01.901.218.6-031.000";;;;[BANNED] PLANET COMM
"927";MAKTOUR;BRTL;ID;IDR;"01.125.504.9-002.001";M00074-AG/I ;;M00074-AG/I ;MAKTOUR
"929";TIRTA HALA EKAMARTA, PT;BRTL;ID;IDR;"02.025.903.2-062.000";;;;TIRTA HALA EKAMARTA, PT
"930";MUDA MULIA MANDIRI, PT;BADV;ID;IDR;"01.724.640.6-015.000";M00072-AG/I ;;M00072-AG/I ;MUDA MULIA MANDIRI, PT
"933";BADAN NARKOTIKA NASIONAL (BNN);BRTL;ID;IDR;"00.439.395.5.005.000";;;;BADAN NARKOTIKA NASIONAL (BNN)
"944";KIDS FANTASI;BRTL;ID;IDR;;;;K00038-AG/I ;KIDS FANTASI
